Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,2059.0,18.0,110.0,2059.0,0.1,43.849999999999994,0.0,0.0,180.94597578048706,,,,,,,,,,,,,,,,,,,,,17.835321850273385,11.655067744867015,41.97201665776881,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,2148.0,19.0,89.0,2148.0,0.1,27.690000000000058,0.0,0.0,189.4782989025116,,,,,,,,,,,,,,,,,,,,,8.09850323074886,8.30967240376163,27.023252694599872,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,2534.0,20.0,386.0,2534.0,0.1,125.36000000000021,0.0,0.0,226.6610233783722,,,,,,,,,,,,,,,,,,,,,53.459741763009944,30.231253295266388,104.93430335187868,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,51.0,1.0,51.0,2585.0,0.1,24.270000000000017,0.0,0.0,658.0788094997406,,,,,,,,,,,,,,,,,,,,,7.6997846015446925,7.603242823673375,23.925137334853588,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,199.0,2.0,148.0,2733.0,0.1,51.69000000000006,0.0,0.0,672.1638119220734,,,,,,,,,,,,,,,,,,,,,19.863074564835564,14.201779566208357,48.84791194037315,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,410.0,3.0,211.0,2944.0,0.1,61.160000000000196,0.0,0.0,692.3166551589966,,,,,,,,,,,,,,,,,,,,,22.387298342690947,15.010147780725541,56.549322144659385,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,611.0,4.0,201.0,3145.0,0.1,56.670000000000144,0.0,0.0,711.3779683113098,,,,,,,,,,,,,,,,,,,,,24.216238183486514,14.946769784902546,51.9062968124473,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,729.0,5.0,118.0,3263.0,0.1,29.960000000000026,0.0,0.0,722.8523480892181,,,,,,,,,,,,,,,,,,,,,12.295548332650036,8.212174012776105,28.56622918889589,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,873.0,6.0,144.0,3407.0,0.1,63.96000000000001,0.0,0.0,736.6290073394775,,,,,,,,,,,,,,,,,,,,,29.607979073214793,19.55879195020563,59.81602324392166,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,969.0,7.0,96.0,3503.0,0.1,33.85,0.0,0.0,745.9666094779968,,,,,,,,,,,,,,,,,,,,,14.343306050950588,10.432326995102452,32.538086253529556,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
