Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
71,3.0,0.0,0.0,1623.0,11.0,91.0,11667.0,0.1,30.180000000000064,0.0,0.0,2752.419562101364,,,,,,,,,,,,,,,,,,,,,7.661968500622399,8.352430572118244,29.541814954537497,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,1743.0,12.0,120.0,11787.0,0.1,40.070000000000014,0.0,0.0,2763.964792251587,,,,,,,,,,,,,,,,,,,,,17.095406710761928,11.668089234694094,38.09470250501609,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,1837.0,13.0,94.0,11881.0,0.1,32.26000000000001,0.0,0.0,2773.226779937744,,,,,,,,,,,,,,,,,,,,,11.89785506879869,9.529444530594523,31.203978376307184,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,2357.0,14.0,520.0,12401.0,0.1,141.20999999999927,0.0,0.0,2822.4785792827606,,,,,,,,,,,,,,,,,,,,,53.805579294139825,28.250315117934832,113.45790111136886,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,0.0,2897.0,15.0,540.0,12941.0,0.1,159.1599999999998,0.0,0.0,2873.2309963703156,,,,,,,,,,,,,,,,,,,,,70.20864244475646,36.92629786279919,121.49019197358676,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.0,0.0,0.0,3483.0,16.0,586.0,13527.0,0.1,187.19999999999865,0.0,0.0,2928.5990405082703,,,,,,,,,,,,,,,,,,,,,65.37468049985368,41.63827050058867,149.18866536915894,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3.0,0.0,0.0,3884.0,17.0,401.0,13928.0,0.1,129.28999999999954,0.0,0.0,2966.3955085277557,,,,,,,,,,,,,,,,,,,,,53.286169678945015,39.539393479894386,108.13841464962756,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3.0,0.0,0.0,4320.0,18.0,436.0,14364.0,0.1,141.67999999999995,0.0,0.0,3007.3475439548492,,,,,,,,,,,,,,,,,,,,,63.45827162663828,34.254039239787275,114.24056045112751,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3.0,0.0,0.0,4397.0,19.0,77.0,14441.0,0.1,30.660000000000014,0.0,0.0,3014.9034674167633,,,,,,,,,,,,,,,,,,,,,11.654493919779929,9.180878213482432,29.82221858312461,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,3.0,0.0,0.0,4521.0,20.0,124.0,14565.0,0.1,54.57000000000005,0.0,0.0,3026.87469291687,,,,,,,,,,,,,,,,,,,,,20.85648094629222,16.691290794557354,52.08792011496959,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,4.0,0.0,0.0,62.0,1.0,62.0,14627.0,0.1,26.370000000000022,0.0,0.0,3767.2574937343597,,,,,,,,,,,,,,,,,,,,,9.24882661360011,8.300541641321148,25.848243388490392,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,4.0,0.0,0.0,317.0,2.0,255.0,14882.0,0.1,95.35000000000008,0.0,0.0,3791.4688527584076,,,,,,,,,,,,,,,,,,,,,37.01480113611684,25.8696282977846,86.08330623946287,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,4.0,0.0,0.0,1177.0,3.0,860.0,15742.0,0.1,327.77000000000015,0.0,0.0,3874.0755581855774,,,,,,,,,,,,,,,,,,,,,118.1760351386801,69.74360143109647,226.59156632181205,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,4.0,0.0,0.0,1412.0,4.0,235.0,15977.0,0.1,111.26000000000013,0.0,0.0,3896.426260948181,,,,,,,,,,,,,,,,,,,,,47.52555954682788,29.145818093727964,100.29197716885604,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,4.0,0.0,0.0,1698.0,5.0,286.0,16263.0,0.1,74.05000000000015,0.0,0.0,3924.0669219493866,,,,,,,,,,,,,,,,,,,,,24.620270197562263,17.495302730454718,67.14282122312217,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,4.0,0.0,0.0,1811.0,6.0,113.0,16376.0,0.1,45.39000000000006,0.0,0.0,3934.9586272239685,,,,,,,,,,,,,,,,,,,,,16.37870288233854,13.589529832545038,43.626415779438844,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,4.0,0.0,0.0,1990.0,7.0,179.0,16555.0,0.1,53.650000000000134,0.0,0.0,3952.1744220256805,,,,,,,,,,,,,,,,,,,,,19.761567321661676,13.81776297754575,50.21305534706133,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,4.0,0.0,0.0,2094.0,8.0,104.0,16659.0,0.1,33.45999999999998,0.0,0.0,3962.504719018936,,,,,,,,,,,,,,,,,,,,,14.604069395971928,9.673211797230334,32.00515508783952,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,4.0,0.0,0.0,2189.0,9.0,95.0,16754.0,0.1,31.16000000000002,0.0,0.0,3971.6109478473663,,,,,,,,,,,,,,,,,,,,,10.548883977092073,8.133202399031598,30.218262328571083,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,4.0,0.0,0.0,2245.0,10.0,56.0,16810.0,0.1,17.06000000000001,0.0,0.0,3977.0830829143524,,,,,,,,,,,,,,,,,,,,,6.154857461008281,5.13354828936834,16.748808851076845,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,4.0,0.0,0.0,2764.0,11.0,519.0,17329.0,0.1,165.59999999999866,0.0,0.0,4026.6559059619904,,,,,,,,,,,,,,,,,,,,,60.56288590307136,40.5767754023953,134.43660098166833,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,4.0,0.0,0.0,3626.0,12.0,862.0,18191.0,0.1,314.4999999999973,0.0,0.0,4107.767318487167,,,,,,,,,,,,,,,,,,,,,113.40041724648646,60.766447726866836,217.1829891287973,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,4.0,0.0,0.0,3821.0,13.0,195.0,18386.0,0.1,49.72000000000007,0.0,0.0,4125.996159791946,,,,,,,,,,,,,,,,,,,,,18.664984411203,13.353203267194633,46.17262712143115,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,4.0,0.0,0.0,4182.0,14.0,361.0,18747.0,0.1,121.68999999999963,0.0,0.0,4160.081378936768,,,,,,,,,,,,,,,,,,,,,47.17128348323104,30.348913353546678,104.87080339854727,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,4.0,0.0,0.0,4512.0,15.0,330.0,19077.0,0.1,138.26000000000005,0.0,0.0,4191.036638975143,,,,,,,,,,,,,,,,,,,,,55.56719362425755,33.90795389083284,120.16303200497305,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,4.0,0.0,0.0,4743.0,16.0,231.0,19308.0,0.1,73.46000000000008,0.0,0.0,4212.627576828003,,,,,,,,,,,,,,,,,,,,,34.2392224970204,18.49405923413965,65.68203799714458,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,4.0,0.0,0.0,4999.0,17.0,256.0,19564.0,0.1,92.06999999999987,0.0,0.0,4236.953189373016,,,,,,,,,,,,,,,,,,,,,35.771607137233836,23.872263916385947,83.07854257948459,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,4.0,0.0,0.0,5415.0,18.0,416.0,19980.0,0.1,131.25000000000023,0.0,0.0,4276.450427770615,,,,,,,,,,,,,,,,,,,,,59.55016096790065,29.837055702745985,106.6904071612688,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,4.0,0.0,0.0,6070.0,19.0,655.0,20635.0,0.1,240.36999999999773,0.0,0.0,4337.9440858364105,,,,,,,,,,,,,,,,,,,,,86.49684694334725,56.09337697919461,184.0825462620853,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4.0,0.0,0.0,6463.0,20.0,393.0,21028.0,0.1,158.92999999999935,0.0,0.0,4375.219451665878,,,,,,,,,,,,,,,,,,,,,58.50400603355187,39.87446223553948,136.2102098382809,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,5.0,0.0,0.0,91.0,1.0,91.0,21119.0,0.1,41.66000000000002,0.0,0.0,5412.716969490051,,,,,,,,,,,,,,,,,,,,,16.205790209113257,12.69138935127127,40.26576435391416,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,5.0,0.0,0.0,460.0,2.0,369.0,21488.0,0.1,146.48999999999972,0.0,0.0,5447.616844415665,,,,,,,,,,,,,,,,,,,,,57.550489799779506,37.3211441585731,125.50475326565947,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,5.0,0.0,0.0,706.0,3.0,246.0,21734.0,0.1,99.1600000000002,0.0,0.0,5471.297327280045,,,,,,,,,,,,,,,,,,,,,41.283154022928926,25.284244002055747,89.18262016807553,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,5.0,0.0,0.0,869.0,4.0,163.0,21897.0,0.1,59.96000000000014,0.0,0.0,5486.761289834976,,,,,,,,,,,,,,,,,,,,,21.695619902213167,16.46950394758504,56.53663068066994,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,5.0,0.0,0.0,1089.0,5.0,220.0,22117.0,0.1,79.64999999999986,0.0,0.0,5507.701114654541,,,,,,,,,,,,,,,,,,,,,32.457552448091526,23.901844486047107,72.65457495675842,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,5.0,0.0,0.0,1146.0,6.0,57.0,22174.0,0.1,24.45000000000002,0.0,0.0,5513.4428627491,,,,,,,,,,,,,,,,,,,,,8.567301341131216,7.606606664647555,24.009659132160717,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,5.0,0.0,0.0,1248.0,7.0,102.0,22276.0,0.1,33.93000000000001,0.0,0.0,5523.2743282318115,,,,,,,,,,,,,,,,,,,,,10.973022687532712,10.800111399776966,32.876471752905736,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,5.0,0.0,0.0,1316.0,8.0,68.0,22344.0,0.1,26.96000000000002,0.0,0.0,5529.860223054886,,,,,,,,,,,,,,,,,,,,,9.82308720059523,8.319192242138394,26.344693111890212,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,5.0,0.0,0.0,2117.0,9.0,801.0,23145.0,0.1,278.8099999999982,0.0,0.0,5606.638219118118,,,,,,,,,,,,,,,,,,,,,104.30741930304306,55.498491097115895,195.65086321382677,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,5.0,0.0,0.0,2981.0,10.0,864.0,24009.0,0.1,299.7999999999986,0.0,0.0,5688.192406177521,,,,,,,,,,,,,,,,,,,,,123.04776657828292,55.62515028516257,193.8742843708206,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,5.0,0.0,0.0,3852.0,11.0,871.0,24880.0,0.1,311.2999999999989,0.0,0.0,5770.946351766586,,,,,,,,,,,,,,,,,,,,,115.23179801984813,61.74865141832642,211.35560377666175,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,5.0,0.0,0.0,3972.0,12.0,120.0,25000.0,0.1,36.259999999999984,0.0,0.0,5782.371066331863,,,,,,,,,,,,,,,,,,,,,17.328798154035223,10.611447504513094,34.249007988484756,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,5.0,0.0,0.0,4804.0,13.0,832.0,25832.0,0.1,312.080000000001,0.0,0.0,5861.244929552078,,,,,,,,,,,,,,,,,,,,,118.32663102233666,68.31110422672361,214.06014922772187,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,5.0,0.0,0.0,4964.0,14.0,160.0,25992.0,0.1,32.2600000000001,0.0,0.0,5876.745764493942,,,,,,,,,,,,,,,,,,,,,9.155915447664933,7.866794771828073,30.85673614392531,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,5.0,0.0,0.0,5176.0,15.0,212.0,26204.0,0.1,50.05000000000016,0.0,0.0,5897.088680505753,,,,,,,,,,,,,,,,,,,,,21.911635524943375,11.736077810366625,45.495679131295496,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,5.0,0.0,0.0,5723.0,16.0,547.0,26751.0,0.1,222.459999999999,0.0,0.0,5948.862450361252,,,,,,,,,,,,,,,,,,,,,93.12914517906096,51.234411963612516,171.86190954423253,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,5.0,0.0,0.0,6339.0,17.0,616.0,27367.0,0.1,214.65999999999903,0.0,0.0,6007.833214521408,,,,,,,,,,,,,,,,,,,,,88.99075343172616,48.004264778528,160.16185944308336,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,5.0,0.0,0.0,6377.0,18.0,38.0,27405.0,0.1,8.979999999999995,0.0,0.0,6011.882752656937,,,,,,,,,,,,,,,,,,,,,2.2639231987777637,2.5823449051891796,8.9117855778165,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,5.0,0.0,0.0,6863.0,19.0,486.0,27891.0,0.1,173.4599999999993,0.0,0.0,6058.135427951813,,,,,,,,,,,,,,,,,,,,,69.02419188415908,44.20160424916525,140.19449153287292,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,5.0,0.0,0.0,7313.0,20.0,450.0,28341.0,0.1,178.06999999999897,0.0,0.0,6101.086260795593,,,,,,,,,,,,,,,,,,,,,66.7125376637868,44.19667593924576,148.3459015084111,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
